accent,accentual,accentless
action,actional,actionless
anchor,ancoral,anchorless
anther,antheral,antherless
author,authorial,authorless
barb,barbal,barbless
base,basial,baseless
benefice,beneficial,beneficeless
bract,bracteal,bractless
branch,branchial,branchless
bride,bridal,brideless
brink,bringal,brinkless
caster,castral,casterless
case,casual,caseless
cause,causal,causeless
cement,cemental,cementless
center,central,centerless
cere,cercal,cereless
character,characterial,characterless
client,cliental,clientless
cloister,cloisteral,cloisterless
cloister,cloistral,cloisterless
commerce,commercial,commerceless
complexion,complexional,complexionless
conductor,conductorial,conductorless
corn,cornual,cornless
core,corral,coreless
corn,corral,cornless
core,correal,coreless
cost,costal,costless
crater,crateral,craterless
creature,creatural,creatureless
creed,creedal,creedless
crust,crustal,crustless
cure,curial,cureless
cure,cursal,cureless
decay,decadal,decayless
dimension,dimensional,dimensionless
direction,directional,directionless
disk,discal,diskless
disguise,disguisal,disguiseless
distinction,distinctional,distinctionless
distortion,distortional,distortionless
doctor,doctoral,doctorless
dot,dotal,dotless
dower,doweral,dowerless
duration,durational,durationless
effect,effectual,effectless
emotion,emotional,emotionless
epitaph,epitaphial,epitaphless
event,eventual,eventless
exception,exceptional,exceptionless
excuse,excusal,excuseless
expression,expressional,expressionless
face,facial,faceless
feature,featural,featureless
feast,festal,feastless
fete,fetial,feteless
figure,figural,figureless
figure,figurial,figureless
fine,finial,fineless
fissure,fissural,fissureless
flection,flectional,flectionless
flirtation,flirtational,flirtationless
forest,forestal,forestless
forest,forestial,forestless
form,formal,formless
foundation,foundational,foundationless
friction,frictional,frictionless
front,frontal,frontless
function,functional,functionless
fund,fundal,fundless
fur,fural,furless
fusion,fusional,fusionless
future,futural,futureless
germ,germal,germless
gesture,gestural,gestureless
glebe,glebal,glebeless
gloss,glossal,glossless
grip,grippal,gripless
harm,harmal,harmless
harm,hartal,harmless
herb,herbal,herbless
house,housal,houseless
humor,humoral,humorless
hymn,hymnal,hymnless
impression,impressional,impressionless
incident,incidental,incidentless
induction,inductional,inductionless
inflection,inflectional,inflectionless
inscription,inscriptional,inscriptionless
intention,intentional,intentionless
intuition,intuitional,intuitionless
invention,inventional,inventionless
justice,justicial,justiceless
leg,legal,legless
limb,limbal,limbless
limit,liminal,limitless
limit,limital,limitless
line,lineal,lineless
logic,logical,logicless
lore,loreal,loreless
luster,lustral,lusterless
lustre,lustral,lustreless
machine,machinal,machineless
man,manal,manless
mane,mantal,maneless
manure,manurial,manureless
meat,meatal,meatless
melody,melodial,melodyless
member,membral,memberless
memory,memorial,memoryless
mense,mensal,menseless
microbe,microbal,microbeless
microbe,microbial,microbeless
money,moneral,moneyless
monument,monumental,monumentless
motion,motional,motionless
motor,motorial,motorless
music,musical,musicless
muse,mussal,museless
nation,national,nationless
nerve,nerval,nerveless
norm,normal,normless
note,notaeal,noteless
notion,notional,notionless
noun,nounal,nounless
number,numeral,numberless
nurture,nurtural,nurtureless
occasion,occasional,occasionless
occupation,occupational,occupationless
officer,officerial,officerless
office,official,officeless
opposition,oppositional,oppositionless
orchestra,orchestral,orchestraless
organ,organal,organless
palate,palatal,palateless
palate,palatial,palateless
palp,palpal,palpless
parent,parental,parentless
part,partial,partless
passion,passional,passionless
pastor,pastoral,pastorless
pasture,pastural,pastureless
patron,patronal,patronless
pause,pausal,pauseless
perimeter,perimetral,perimeterless
phase,phaseal,phaseless
phrase,phrasal,phraseless
picture,pictural,pictureless
planet,planetal,planetless
plant,plantal,plantless
police,policial,policeless
pomp,pompal,pompless
population,populational,populationless
port,portal,portless
portion,portional,portionless
position,positional,positionless
possession,possessional,possessionless
post,postal,postless
pound,poundal,poundless
precedent,precedential,precedentless
prejudice,prejudicial,prejudiceless
pressure,pressural,pressureless
pretension,pretensional,pretensionless
priest,priestal,priestless
profession,professional,professionless
proportion,proportional,proportionless
protector,protectoral,protectorless
protector,protectorial,protectorless
provision,provisional,provisionless
pulp,pulpal,pulpless
pulpit,pulpital,pulpitless
ration,rational,rationless
recount,recountal,recountless
redemption,redemptional,redemptionless
redress,redressal,redressless
reflection,reflectional,reflectionless
rein,reginal,reinless
rein,regnal,reinless
relation,relational,relationless
remedy,remedial,remediless
rent,rental,rentless
repeal,repeatal,repealless
reserve,reserval,reserveless
response,responsal,responseless
retrieve,retrieval,retrieveless
reverse,reversal,reverseless
review,reviewal,reviewless
rhythm,rhythmal,rhythmless
rim,rimal,rimless
rite,ritual,riteless
rose,roseal,roseless
rudder,ruderal,rudderless
rum,rumal,rumless
salutation,salutational,salutationless
satisfaction,satisfactional,satisfactionless
scepter,sceptral,scepterless
season,seasonal,seasonless
sense,sensal,senseless
sensation,sensational,sensationless
sense,sensual,senseless
sentiment,sentimental,sentimentless
shrine,shrinal,shrineless
side,sideral,sideless
sign,signal,signless
signature,signatural,signatureless
sin,sinal,sinless
siphon,siphonal,siphonless
siphon,siphonial,siphonless
society,societal,societyless
sphere,spheral,sphereless
spice,spical,spiceless
spine,spinal,spineless
spire,spiral,spireless
spirit,spiritual,spiritless
spite,spital,spiteless
spouse,spousal,spouseless
spring,springal,springless
state,statal,stateless
stipend,stipendial,stipendless
stomach,stomachal,stomachless
structure,structural,structureless
succession,successional,successionless
summit,summital,summitless
supposition,suppositional,suppositionless
suspicion,suspicional,suspicionless
tact,tactual,tactless
temper,temporal,temperless
temptation,temptational,temptationless
tenor,teneral,tenorless
tension,tensional,tensionless
texture,textural,textureless
theater,theatral,theaterless
thing,thingal,thingless
throat,throatal,throatless
throne,thronal,throneless
thyroid,thyroidal,thyroidless
thyroid,thyroideal,thyroidless
tissue,tissual,tissueless
tithe,tithal,titheless
tomb,tombal,tombless
torrent,torrential,torrentless
torsion,torsional,torsionless
trace,tracheal,traceless
trade,tradal,tradeless
tradition,traditional,traditionless
tribe,tribal,tribeless
trophy,trophal,trophyless
truce,trucial,truceless
trunk,truncal,trunkless
tube,tubbal,tubeless
turban,turbinal,turbanless
tusk,tussal,tuskless
tutor,tutorial,tutorless
unction,unctional,unctionless
uneffect,uneffectual,uneffectless
uniform,uniformal,uniformless
vacation,vacational,vacationless
vagina,vaginal,vaginaless
valve,valval,valveless
vegetation,vegetational,vegetationless
vein,veinal,veinless
verb,verbal,verbless
verse,versal,verseless
verse,versual,verseless
vertebra,vertebral,vertebraless
vibration,vibrational,vibrationless
vict,victual,victless
vine,vineal,vineless
vision,visional,visionless
volition,volitional,volitionless
wite,withal,witeless
wist,wittal,wistless
wite,wittal,witeless
extreme,extremal,extremeless
