Base,-al form, -less form 
accent,accentual,accentless
action,actional,actionless
anther,antheral,antherless
author,authorial,authorless
barb,barbal,barbless
benefice,beneficial,beneficeless
bract,bracteal,bractless
bride,bridal,brideless
case,casual,caseless
cause,causal,causeless
cement,cemental,cementless
center,central,centerless
character,characterial,characterless
client,cliental,clientless
cloister,cloistral,cloisterless
commerce,commercial,commerceless
complexion,complexional,complexionless
conductor,conductorial,conductorless
crater,crateral,craterless
creature,creatural,creatureless
creed,creedal,creedless
crust,crustal,crustless
decay,decadal,decayless
dimension,dimensional,dimensionless
direction,directional,directionless
disk,discal,diskless
distinction,distinctional,distinctionless
distortion,distortional,distortionless
doctor,doctoral,doctorless
dot,dotal,dotless
dower,doweral,dowerless
duration,durational,durationless
effect,effectual,effectless
emotion,emotional,emotionless
epitaph,epitaphial,epitaphless
event,eventual,eventless
exception,exceptional,exceptionless
excuse,excusal,excuseless
expression,expressional,expressionless
face,facial,faceless
feature,featural,featureless
feast,festal,feastless
figure,figural,figureless
fissure,fissural,fissureless
flection,flectional,flectionless
flirtation,flirtational,flirtationless
forest,forestal,forestless
forest,forestial,forestless
form,formal,formless
foundation,foundational,foundationless
friction,frictional,frictionless
front,frontal,frontless
function,functional,functionless
fusion,fusional,fusionless
future,futural,futureless
gesture,gestural,gestureless
gloss,glossal,glossless
grip,grippal,gripless
herb,herbal,herbless
humor,humoral,humorless
hymn,hymnal,hymnless
impression,impressional,impressionless
incident,incidental,incidentless
induction,inductional,inductionless
inflection,inflectional,inflectionless
inscription,inscriptional,inscriptionless
intention,intentional,intentionless
intuition,intuitional,intuitionless
invention,inventional,inventionless
justice,justicial,justiceless
limb,limbal,limbless
limit,liminal,limitless
line,lineal,lineless
logic,logical,logicless
lore,loral,loreless
luster,lustral,lusterless
lustre,lustral,lustreless
machine,machinal,machineless
manure,manurial,manureless
melody,melodial,melodyless
member,membral,memberless
microbe,microbal,microbeless
microbe,microbial,microbeless
monument,monumental,monumentless
motion,motional,motionless
motor,motorial,motorless
music,musical,musicless
nation,national,nationless
nerve,neural,nerveless
norm,normal,normless
notion,notional,notionless
noun,nounal,nounless
number,numeral,numberless
nurture,nurtural,nurtureless
occasion,occasional,occasionless
occupation,occupational,occupationless
officer,officerial,officerless
office,official,officeless
opposition,oppositional,oppositionless
orchestra,orchestral,orchestraless
palate,palatal,palateless
parent,parental,parentless
part,partial,partless
passion,passional,passionless
pastor,pastoral,pastorless
pasture,pastural,pastureless
patron,patronal,patronless
pause,pausal,pauseless
perimeter,perimetral,perimeterless
phase,phaseal,phaseless
phrase,phrasal,phraseless
picture,pictural,pictureless
planet,planetal,planetless
plant,plantal,plantless
police,policial,policeless
population,populational,populationless
portion,portional,portionless
position,positional,positionless
possession,possessional,possessionless
post,postal,postless
precedent,precedential,precedentless
prejudice,prejudicial,prejudiceless
pressure,pressural,pressureless
pretension,pretensional,pretensionless
priest,priestal,priestless
profession,professional,professionless
proportion,proportional,proportionless
protector,protectoral,protectorless
protector,protectorial,protectorless
provision,provisional,provisionless
pulp,pulpal,pulpless
pulpit,pulpital,pulpitless
ration,rational,rationless
redemption,redemptional,redemptionless
reflection,reflectional,reflectionless
relation,relational,relationless
remedy,remedial,remediless
rent,rental,rentless
rhythm,rhythmal,rhythmless
rite,ritual,riteless
rose,roseal,roseless
salutation,salutational,salutationless
satisfaction,satisfactional,satisfactionless
scepter,sceptral,scepterless
season,seasonal,seasonless
sensation,sensational,sensationless
sense,sensual,senseless
sentiment,sentimental,sentimentless
shrine,shrinal,shrineless
sign,signal,signless
signature,signatural,signatureless
siphon,siphonal,siphonless
siphon,siphonial,siphonless
society,societal,societyless
sphere,spheral,sphereless
spine,spinal,spineless
spire,spiral,spireless
spirit,spiritual,spiritless
spouse,spousal,spouseless
state,statal,stateless
stipend,stipendial,stipendless
stomach,stomachal,stomachless
structure,structural,structureless
succession,successional,successionless
summit,summital,summitless
supposition,suppositional,suppositionless
suspicion,suspicional,suspicionless
tact,tactual,tactless
temper,temporal,temperless
temptation,temptational,temptationless
tension,tensional,tensionless
texture,textural,textureless
theater,theatral,theaterless
thing,thingal,thingless
throat,throatal,throatless
throne,thronal,throneless
thyroid,thyroidal,thyroidless
thyroid,thyroideal,thyroidless
tissue,tissual,tissueless
tomb,tombal,tombless
torrent,torrential,torrentless
torsion,torsional,torsionless
tradition,traditional,traditionless
tribe,tribal,tribeless
trophy,trophal,trophyless
truce,trucial,truceless
trunk,truncal,trunkless
tube,tubal,tubeless
unction,unctional,unctionless
uneffect,uneffectual,uneffectless
uniform,uniformal,uniformless
vacation,vacational,vacationless
vagina,vaginal,vaginaless
valve,valval,valveless
vegetation,vegetational,vegetationless
vein,veinal,veinless
verb,verbal,verbless
verse,versal,verseless
verse,versual,verseless
vertebra,vertebral,vertebraless
vibration,vibrational,vibrationless
vine,vineal,vineless
vision,visional,visionless
volition,volitional,volitionless
extreme,extremal,extremeless
