Noun,Denominal,Non-denominal,Others
שלשלת,לשלשל ,ללשל להתלשל ,ללשול להלשיל 
משמש,למשמש ,לשמש להתשמש ,לשמוש להשמיש 
מקצוע,להתמקצע ,לקצע להתקצע ,לקצוע להקציע 
אכזבה,לאכזב להתאכזב ,לכזב להתכזב ,לכזוב להכזיב 
תפעול,לתפעל ,לפעל להתפעל ,לפעול להפעיל 
תפקוד,לתפקד ,לפקד להתפקד ,לפקוד להפקיד 
סרטון,לסרטן ,לסרט להתסרט ,לסרוט להסריט 
תקלוט,לתקלט ,לקלט להתקלט ,לקלוט להקליט 
תדרוך,לתדרך ,לדרך להתדרך ,לדרוך להדריך 
מחזר,למחזר ,לחזר להתחזר ,לחזור להחזיר 
תקציב,לתקצב ,לקצב להתקצב ,לקצוב להקציב 
אלמן,לאלמן להתאלמן ,לאלמ להתאלמ ,לאלומ להאלימ 
אלמן,לאלמן להתאלמן ,ללמן להתלמן ,ללמון להלמין 
תמלול,לתמלל ,למלל להתמלל ,למלול להמליל 
אכלוס,לאכלס להתאכלס ,לכלס להתכלס ,לכלוס להכליס 
עדכון,לעדכן להתעדכן ,לעדכ להתעדכ ,לעדוכ להעדיכ 
פרשן,לפרשן ,לפרש להתפרש ,לפרוש להפריש 
אזכרה,לאזכר ,לזכר להתזכר ,לזכור להזכיר 
תחקור,לתחקר ,לחקר להתחקר ,לחקור להחקיר 
אזכור,לאזכר ,לזכר להתזכר ,לזכור להזכיר 
אבחון,לאבחן ,לאבח להתאבח ,לאבוח להאביח 
אבחון,לאבחן ,לבחן להתבחן ,לבחון להבחין 
שרשרת,לשרשר ,לרשר להתרשר ,לרשור להרשיר 
תחקיר,לתחקר ,לחקר להתחקר ,לחקור להחקיר 
מסגר,למסגר ,לסגר להתסגר ,לסגור להסגיר 
תדלוק,לתדלק ,לדלק להתדלק ,לדלוק להדליק 
אשפוז,לאשפז להתאשפז ,לשפז להתשפז ,לשפוז להשפיז 
מסגור,למסגר ,לסגר להתסגר ,לסגור להסגיר 
מרכז,למרכז ,לרכז להתרכז ,לרכוז להרכיז 
אפסון,לאפסן ,לאפס להתאפס ,לאפוס להאפיס 
אפסון,לאפסן ,לפסן להתפסן ,לפסון להפסין 
נבחן,לנבחן ,לנבח להתנבח ,לנבוח להנביח 
תמליל,לתמלל ,למלל להתמלל ,למלול להמליל 
תדריך,לתדרך ,לדרך להתדרך ,לדרוך להדריך 
חשבון,לחשבן להתחשבן ,לחשב להתחשב ,לחשוב להחשיב 
תכנון,לתכנן ,לכנן להתכנן ,לכנון להכנין 
תכנון,לתכנן ,לתכנ להתתכנ ,לתכונ להתכינ 
תרגום,לתרגם ,לרגם להתרגם ,לרגום להרגים 
מספר,למספר ,לספר להתספר ,לספור להספיר 
תמחיר,לתמחר ,למחר להתמחר ,למחור להמחיר 
מסחור,למסחר ,לסחר להתסחר ,לסחור להסחיר 
תאריך,לתארך ,לארך להתארך ,לארוך להאריך 
מלכודת,למלכד ,ללכד להתלכד ,ללכוד להלכיד 
נאמן,לנאמן ,לנאמ להתנאמ ,לנאומ להנאימ 
תסכול,לתסכל ,לסכל להתסכל ,לסכול להסכיל 
מצמוץ,למצמץ ,לצמץ להתצמץ ,לצמוץ להצמיץ 
טלפן,לטלפן ,לטלפ להתטלפ ,לטלופ להטליפ 
תמחור,לתמחר ,למחר להתמחר ,למחור להמחיר 
אזרח,לאזרח להתאזרח ,לזרח להתזרח ,לזרוח להזריח 
הנהון,להנהן ,להנה להתהנה ,להנוה לההניה 
משכון,למשכן ,למשכ להתמשכ ,למשוכ להמשיכ 
משכון,למשכן ,לשכן להתשכן ,לשכון להשכין 
מנגל,למנגל ,לנגל להתנגל ,לנגול להנגיל 
תעתוע,לתעתע ,לעתע להתעתע ,לעתוע להעתיע 
סרטן,לסרטן ,לסרט להתסרט ,לסרוט להסריט 
טלפון,לטלפן ,לטלפ להתטלפ ,לטלופ להטליפ 
שלהבת,לשלהב ,ללהב להתלהב ,ללהוב להלהיב 
אכזב,לאכזב להתאכזב ,לכזב להתכזב ,לכזוב להכזיב 
תגמול,לתגמל ,לגמל להתגמל ,לגמול להגמיל 
אמלול,לאמלל להתאמלל ,למלל להתמלל ,למלול להמליל 
מספור,למספר ,לספר להתספר ,לספור להספיר 
מלכוד,למלכד ,ללכד להתלכד ,ללכוד להלכיד 
אתגר,לאתגר ,לתגר להתתגר ,לתגור להתגיר 
מזעור,למזער ,לזער להתזער ,לזעור להזעיר 
מחשוב,למחשב ,לחשב להתחשב ,לחשוב להחשיב 
תרגול,לתרגל ,לרגל להתרגל ,לרגול להרגיל 
תצפית,לתצפת ,לצפת להתצפת ,לצפות להצפית 
חרבון,לחרבן ,לחרב להתחרב ,לחרוב להחריב 
תמרוץ,לתמרץ ,למרץ להתמרץ ,למרוץ להמריץ 
פרגון,לפרגן ,לפרג להתפרג ,לפרוג להפריג 
ארגון,לארגן להתארגן ,לארג להתארג ,לארוג להאריג 
ארגון,לארגן להתארגן ,לרגן להתרגן ,לרגון להרגין 
אשרור,לאשרר ,לשרר להתשרר ,לשרור להשריר 
מסטול,להתמסטל ,לסטל להתסטל ,לסטול להסטיל 
תמצית,לתמצת ,למצת להתמצת ,למצות להמצית 
תפקיד,לתפקד ,לפקד להתפקד ,לפקוד להפקיד 
תקצוב,לתקצב ,לקצב להתקצב ,לקצוב להקציב 
אזרוח,לאזרח להתאזרח ,לזרח להתזרח ,לזרוח להזריח 
אלתור,לאלתר ,ללתר להתלתר ,ללתור להלתיר 
משכן,למשכן ,למשכ להתמשכ ,למשוכ להמשיכ 
משכן,למשכן ,לשכן להתשכן ,לשכון להשכין 
מסחר,למסחר ,לסחר להתסחר ,לסחור להסחיר 
תגבורת,לתגבר ,לגבר להתגבר ,לגבור להגביר 
תגבור,לתגבר ,לגבר להתגבר ,לגבור להגביר 
תשאול,לתשאל ,לשאל להתשאל ,לשאול להשאיל 
תעדוף,לתעדף ,לעדף להתעדף ,לעדוף להעדיף 
תרגיל,לתרגל ,לרגל להתרגל ,לרגול להרגיל 
מסגרת,למסגר ,לסגר להתסגר ,לסגור להסגיר 
תרגולת,לתרגל ,לרגל להתרגל ,לרגול להרגיל 
אחסון,לאחסן ,לאחס להתאחס ,לאחוס להאחיס 
אחסון,לאחסן ,לחסן להתחסן ,לחסון להחסין 
מחשב,למחשב ,לחשב להתחשב ,לחשוב להחשיב 
מחזור,למחזר ,לחזר להתחזר ,לחזור להחזיר 
אבטחה,לאבטח ,לבטח להתבטח ,לבטוח להבטיח 
מגנט,למגנט ,לגנט להתגנט ,לגנוט להגניט 
תקשורת,לתקשר ,לקשר להתקשר ,לקשור להקשיר 
תמריץ,לתמרץ ,למרץ להתמרץ ,למרוץ להמריץ 
רענון,לרענן להתרענן ,לרענ להתרענ ,לרעונ להרעינ 
תקליט,לתקלט ,לקלט להתקלט ,לקלוט להקליט 
